wkt_geom,UPJONG1_NM,UPJONG2_NM,UPJONG3_NM,STORE_NM,ADDRESS,PHONE,입력주소,X,Y,CLSS,PNU,주소구분,표준신주소,표준구주소,우편번호
Point (193012.0169448999222368 450099.6122696521342732),음식,유흥주점,빠/카페/스탠드빠,엔젤스,서울특별시 마포구 서교동 405-17 3층,,서울특별시 마포구 서교동 405-17 3층,126.92092,37.550389,정좌표,1.14E+18,구주소,서울특별시 마포구 어울마당로 59,서울특별시 마포구 서교동 405-17,4048
Point (192971.52288811429752968 449864.24072762666037306),음식,유흥주점,빠/카페/스탠드빠,두성종이(주)홍대지점,서울특별시 마포구 상수동 318-1 1층,,서울특별시 마포구 상수동 318-1 1층,126.920464,37.548268,정좌표,1.14E+18,구주소,서울특별시 마포구 어울마당로 36,서울특별시 마포구 상수동 318-1,4049
Point (192909.39568027775385417 450066.5137867882149294),음식,한식,한식/백반/한정식,오이시쿡,서울특별시 마포구 서교동 395-78 1층,,서울특별시 마포구 서교동 395-78 1층,126.919759,37.55009,정좌표,1.14E+18,구주소,서울특별시 마포구 독막로7길 51,서울특별시 마포구 서교동 395-78,4043
Point (193133.88394864645670168 450111.94131751218810678),음식,한식,한식/백반/한정식,딴또딴또,서울특별시 마포구 서교동 407-27,02-336-6992,서울특별시 마포구 서교동 407-27,126.922299,37.550501,정좌표,1.14E+18,구주소,서울특별시 마포구 잔다리로 5-1,서울특별시 마포구 서교동 407-27,4049
Point (192836.38634709460893646 450249.81778807926457375),음식,유흥주점,빠/카페/스탠드빠,라군,서울특별시 마포구 서교동 395-85 로뎀빌딩 지1층,02-3142-2228,서울특별시 마포구 서교동 395-85 로뎀빌딩 지1층,126.918931,37.551741,정좌표,1.14E+18,구주소,서울특별시 마포구 잔다리로 39,서울특별시 마포구 서교동 395-85,4043
Point (192920.68854187789838761 449941.64256729453336447),음식,유흥주점,빠/카페/스탠드빠,스토리인꽃비,서울특별시 마포구 서교동 402-14 2층,,서울특별시 마포구 서교동 402-14 2층,126.919888,37.548965,정좌표,1.14E+18,구주소,서울특별시 마포구 독막로9길 14,서울특별시 마포구 서교동 402-14,4048
Point (192762.67908602609531954 450034.00980955635895953),음식,유흥주점,빠/카페/스탠드빠,더까페로로,서울특별시 마포구 서교동 396-4 1층,,서울특별시 마포구 서교동 396-4 1층,126.918099,37.549796,정좌표,1.14E+18,구주소,서울특별시 마포구 어울마당로5길 47,서울특별시 마포구 서교동 396-4,4047
Point (192675.41104511421872303 449877.0381632738863118),음식,분식,라면김밥분식,장가네분식,서울특별시 마포구 합정동 412-22 1층,02-322-6282,서울특별시 마포구 합정동 412-22 1층,126.917113,37.548381,정좌표,1.14E+18,구주소,서울특별시 마포구 독막로 33,서울특별시 마포구 합정동 412-22,4047
Point (192976.21779691110714339 449982.21706829039612785),음식,유흥주점,룸살롱/단란주점,젬,서울특별시 마포구 서교동 403-17,02-326-2640,서울특별시 마포구 서교동 403-17,126.920516,37.549331,정좌표,1.14E+18,구주소,서울특별시 마포구 어울마당로 45-1,서울특별시 마포구 서교동 403-17,4048
Point (192456.82959279985516332 450020.74134022329235449),음식,유흥주점,룸살롱/단란주점,풀잎이슬이,서울특별시 마포구 서교동 394-27 지하1층,,서울특별시 마포구 서교동 394-27 지하1층,126.914638,37.549674,정좌표,1.14E+18,구주소,서울특별시 마포구 양화로 52,서울특별시 마포구 서교동 394-27,4045
Point (192774.67812169349053875 450317.13003931846469641),음식,일식/수산물,음식점-일식,이나미,서울특별시 마포구 서교동 373-1,02-143-4476,서울특별시 마포구 서교동 373-1,126.918232,37.552347,정좌표,1.14E+18,구주소,서울특별시 마포구 양화로 94,서울특별시 마포구 서교동 373-1,4043
Point (192956.98686978983459994 449917.08335338940378278),음식,유흥주점,호프/맥주,놀러와,서울특별시 마포구 서교동 402-18 2층,,서울특별시 마포구 서교동 402-18 2층,126.920299,37.548744,정좌표,1.14E+18,구주소,서울특별시 마포구 어울마당로 39,서울특별시 마포구 서교동 402-18,4048
Point (193178.40533837498514913 449878.38574136001989245),음식,한식,한식/백반/한정식,엣코너,서울특별시 마포구 상수동 145-4 1층,,서울특별시 마포구 상수동 145-4 1층,126.922805,37.548397,정좌표,1.14E+18,구주소,서울특별시 마포구 와우산로 43,서울특별시 마포구 상수동 145-4,4049
Point (192829.34652266991906799 449976.68214791914215311),음식,유흥주점,빠/카페/스탠드빠,원스레인,서울특별시 마포구 서교동 400-21 1층,,서울특별시 마포구 서교동 400-21 1층,126.918854,37.54928,정좌표,1.14E+18,구주소,서울특별시 마포구 어울마당로5길 25-6,서울특별시 마포구 서교동 400-21,4047
Point (192812.62602168918238021 449852.50095007987692952),음식,제과제빵떡케익,떡전문,여주떡방아간,서울특별시 마포구 합정동 410-12,02-336-4085,서울특별시 마포구 합정동 410-12,126.918666,37.548161,정좌표,1.14E+18,구주소,서울특별시 마포구 독막로7길 6,서울특별시 마포구 합정동 410-12,4048
Point (192596.96108922801795416 450099.19485805014846846),음식,양식,정통양식/경양식,소노,서울특별시 마포구 서교동 395-48 지1층,,서울특별시 마포구 서교동 395-48 지1층,126.916223,37.550382,정좌표,1.14E+18,구주소,서울특별시 마포구 양화로8길 9,서울특별시 마포구 서교동 395-48,4044
Point (192930.75745352613739669 449935.75162581785116345),음식,일식/수산물,음식점-일식,큐슈센닌,서울특별시 마포구 서교동 402-13 1층,,서울특별시 마포구 서교동 402-13 1층,126.920002,37.548912,정좌표,1.14E+18,구주소,서울특별시 마포구 어울마당로5길 7,서울특별시 마포구 서교동 402-13,4048
Point (192981.42785042498144321 449873.3333744490519166),음식,한식,한식/백반/한정식,육칠팔찜,서울특별시 마포구 상수동 317-1 1층,,서울특별시 마포구 상수동 317-1 1층,126.920576,37.54835,정좌표,1.14E+18,구주소,서울특별시 마포구 독막로 67-13,서울특별시 마포구 상수동 317-1,4049
Point (192816.60070740841911174 449952.49775866779964417),음식,유흥주점,빠/카페/스탠드빠,커몬,서울특별시 마포구 서교동 400-16 1층,,서울특별시 마포구 서교동 400-16 1층,126.91871,37.549062,정좌표,1.14E+18,구주소,서울특별시 마포구 어울마당로5길 25-10,서울특별시 마포구 서교동 400-16,4047
Point (193004.3255512147443369 449885.52274807379581034),음식,한식,한식/백반/한정식,차돌집,서울특별시 마포구 상수동 316-1,02-6232-2096,서울특별시 마포구 상수동 316-1,126.920835,37.54846,정좌표,1.14E+18,구주소,서울특별시 마포구 와우산로13길 49,서울특별시 마포구 상수동 316-1,4049
Point (192864.66285217562108301 449941.02456893341150135),음식,유흥주점,빠/카페/스탠드빠,엠부,서울특별시 마포구 서교동 401-12 3층,,서울특별시 마포구 서교동 401-12 3층,126.919254,37.548959,정좌표,1.14E+18,구주소,서울특별시 마포구 독막로7길 26,서울특별시 마포구 서교동 401-12,4048
Point (193054.98535327761783265 449915.11405580048449337),음식,일식/수산물,음식점-일식,수박껍질과하얀절편,서울특별시 마포구 상수동 312-4 지1층,,서울특별시 마포구 상수동 312-4 지1층,126.921408,37.548727,정좌표,1.14E+18,구주소,서울특별시 마포구 와우산로11길 28,서울특별시 마포구 상수동 312-4,4049
Point (193141.35628789171460085 450064.98718438082141802),음식,한식,한식/백반/한정식,군,"서울특별시 마포구 서교동 410-9 2,3층",,"서울특별시 마포구 서교동 410-9 2,3층",126.922384,37.550078,정좌표,1.14E+18,구주소,서울특별시 마포구 와우산로17길 11,서울특별시 마포구 서교동 410-9,4049
Point (193005.92894088928005658 450110.60521421313751489),음식,유흥주점,호프/맥주,매드홀릭,서울특별시 마포구 서교동 405-15 지하1층,,서울특별시 마포구 서교동 405-15 지하1층,126.920851,37.550488,정좌표,1.14E+18,구주소,서울특별시 마포구 잔다리로 19-6,서울특별시 마포구 서교동 405-15,4048
Point (192530.30840766074834391 449973.50500924052903429),음식,양식,바베큐전문,앤덴,서울특별시 마포구 서교동 394-20 102,,서울특별시 마포구 서교동 394-20 102,126.91547,37.549249,정좌표,1.14E+18,구주소,서울특별시 마포구 양화로6길 21,서울특별시 마포구 서교동 394-20,4044
Point (192892.67117354611400515 450039.3359968769364059),음식,양식,정통양식/경양식,비스트로코너,서울특별시 마포구 서교동 395-23 2층,,서울특별시 마포구 서교동 395-23 2층,126.91957,37.549845,정좌표,1.14E+18,구주소,서울특별시 마포구 독막로7길 45,서울특별시 마포구 서교동 395-23,4043
Point (192811.16005692444741726 449894.45570504455827177),음식,분식,라면김밥분식,길모퉁이칠리차차,서울특별시 마포구 서교동 400-11 1층,02-322-8405,서울특별시 마포구 서교동 400-11 1층,126.918649,37.548539,정좌표,1.14E+18,구주소,서울특별시 마포구 양화로6길 79,서울특별시 마포구 서교동 400-11,4047
Point (192969.40074383551836945 449967.1284567981492728),음식,한식,한식/백반/한정식,어머니가 차려주는 식탁,서울특별시 마포구 서교동 403-13,02-333-5616,서울특별시 마포구 서교동 403-13,126.920439,37.549195,정좌표,1.14E+18,구주소,서울특별시 마포구 어울마당로 45,서울특별시 마포구 서교동 403-13,4048
Point (192986.21745417770580389 449894.30607219680678099),음식,분식,라면김밥분식,촌,서울특별시 마포구 서교동 411-15 1층,,서울특별시 마포구 서교동 411-15 1층,126.92063,37.548539,정좌표,1.14E+18,구주소,서울특별시 마포구 어울마당로 40,서울특별시 마포구 서교동 411-15,4049
Point (193181.79484088424942456 450024.44324833678547293),음식,한식,한식/백반/한정식,스노브,서울특별시 마포구 상수동 86-53,02-3143-6658,서울특별시 마포구 상수동 86-53,126.922842,37.549713,정좌표,1.14E+18,구주소,서울특별시 마포구 와우산로 59,서울특별시 마포구 상수동 86-53,4049
Point (192950.08475112376618199 449905.99040135182440281),음식,한식,한식/백반/한정식,행복전,서울특별시 마포구 서교동 402-19,02-335-5670,서울특별시 마포구 서교동 402-19,126.920221,37.548644,정좌표,1.14E+18,구주소,서울특별시 마포구 어울마당로 37,서울특별시 마포구 서교동 402-19,4048
Point (193075.84704022068763152 449923.30975892068818212),음식,유흥주점,빠/카페/스탠드빠,255,서울특별시 마포구 상수동 312-2 외1필지,02-335-7115,서울특별시 마포구 상수동 312-2 외1필지,126.921644,37.548801,정좌표,1.14E+18,구주소,서울특별시 마포구 와우산로13길 31,서울특별시 마포구 상수동 312-2,4049
Point (192994.07256047890405171 450092.41315750300418586),음식,한식,한식/백반/한정식,405키친,서울특별시 마포구 서교동 405-13 1층,02-3142-1235,서울특별시 마포구 서교동 405-13 1층,126.920717,37.550324,정좌표,1.14E+18,구주소,서울특별시 마포구 어울마당로 55-4,서울특별시 마포구 서교동 405-13,4048
Point (192992.6873506554402411 450126.37668267748085782),음식,분식,떡볶이전문,박군네즉석떡뽁이,서울특별시 마포구 서교동 405-18 1층,,서울특별시 마포구 서교동 405-18 1층,126.920701,37.55063,정좌표,1.14E+18,구주소,서울특별시 마포구 잔다리로 21,서울특별시 마포구 서교동 405-18,4048
Point (193139.90365778116392903 450018.04042664769804105),음식,유흥주점,빠/카페/스탠드빠,아뜰리에데코아발림,서울특별시 마포구 서교동 411-6 1층,,서울특별시 마포구 서교동 411-6 1층,126.922368,37.549655,정좌표,1.14E+18,구주소,서울특별시 마포구 와우산로15길 15,서울특별시 마포구 서교동 411-6,4049
Point (193007.1484059426584281 450089.62743817165028304),음식,유흥주점,빠/카페/스탠드빠,별...,서울특별시 마포구 서교동 405-16 지하1층,02-3413-4022,서울특별시 마포구 서교동 405-16 지하1층,126.920865,37.550299,정좌표,1.14E+18,구주소,서울특별시 마포구 어울마당로 55-2,서울특별시 마포구 서교동 405-16,4048
Point (192565.06286994685069658 449903.88430788740515709),음식,유흥주점,호프/맥주,천하태평돈황,서울특별시 마포구 합정동 413-8,02-3141-9522,서울특별시 마포구 합정동 413-8,126.915864,37.548622,정좌표,1.14E+18,구주소,서울특별시 마포구 독막로 21,서울특별시 마포구 합정동 413-8,4046
Point (192822.44341958643053658 449964.59040881012333557),음식,유흥주점,빠/카페/스탠드빠,푸치니가꿈꾸는작은정원,"서울특별시 마포구 서교동 400-19 1, 2층",02-322-3864,"서울특별시 마포구 서교동 400-19 1, 2층",126.918776,37.549171,정좌표,1.14E+18,구주소,서울특별시 마포구 어울마당로5길 25-8,서울특별시 마포구 서교동 400-19,4047
Point (192968.59360102328355424 449953.14464311936171725),음식,양식,정통양식/경양식,시작,서울특별시 마포구 서교동 403-9,02-325-3234,서울특별시 마포구 서교동 403-9,126.92043,37.549069,정좌표,1.14E+18,구주소,서울특별시 마포구 어울마당로 43,서울특별시 마포구 서교동 403-9,4048
Point (192937.89329482181346975 450013.88116036140127108),음식,일식/수산물,음식점-일식,스카타모리,"서울특별시 마포구 서교동 404-2 외1필지 1층,2층",,"서울특별시 마포구 서교동 404-2 외1필지 1층,2층",126.920082,37.549616,정좌표,1.14E+18,구주소,서울특별시 마포구 독막로9길 29,서울특별시 마포구 서교동 404-2,4048
Point (192662.09378896912676282 449906.90570509841199964),음식,양식,정통양식/경양식,씨클라우드,서울특별시 마포구 합정동 412-26 2층,,서울특별시 마포구 합정동 412-26 2층,126.916962,37.54865,정좌표,1.14E+18,구주소,서울특별시 마포구 양화로6길 50,서울특별시 마포구 합정동 412-26,4047
Point (193134.70560434710932896 450036.91269358078716323),음식,일식/수산물,음식점-일식,겐지,서울특별시 마포구 서교동 410-5 1층,,서울특별시 마포구 서교동 410-5 1층,126.922309,37.549825,정좌표,1.14E+18,구주소,서울특별시 마포구 와우산로15길 14,서울특별시 마포구 서교동 410-5,4049
Point (193141.60406931777833961 450044.01023259508656338),음식,유흥주점,빠/카페/스탠드빠,스튜디오80,서울특별시 마포구 서교동 410-4 지1층,,서울특별시 마포구 서교동 410-4 지1층,126.922387,37.549889,인근좌표,1.14E+18,구주소,,서울특별시 마포구 서교동 410-4,NULL
Point (193148.09364507492864504 450091.06382456130813807),음식,유흥주점,빠/카페/스탠드빠,다트코리아,서울특별시 마포구 서교동 407-6,02-3143-3431,서울특별시 마포구 서교동 407-6,126.92246,37.550313,정좌표,1.14E+18,구주소,서울특별시 마포구 와우산로17길 10,서울특별시 마포구 서교동 407-6,4049
Point (192991.49267466098535806 449862.44804855872644112),음식,양식,정통양식/경양식,델마,서울특별시 마포구 상수동 317-2 2층,,서울특별시 마포구 상수동 317-2 2층,126.92069,37.548252,정좌표,1.14E+18,구주소,서울특별시 마포구 독막로 67-11,서울특별시 마포구 상수동 317-2,4049
Point (192880.49798127647954971 449961.21081255411263555),음식,유흥주점,빠/카페/스탠드빠,물고기,서울특별시 마포구 서교동 401-1 1층,,서울특별시 마포구 서교동 401-1 1층,126.919433,37.549141,정좌표,1.14E+18,구주소,서울특별시 마포구 어울마당로5길 17,서울특별시 마포구 서교동 401-1,4048
Point (193061.39048784738406539 449966.1632131016231142),음식,유흥주점,빠/카페/스탠드빠,카페인 연구소,서울특별시 마포구 서교동 409-14 1층,02-303-0316,서울특별시 마포구 서교동 409-14 1층,126.92148,37.549187,정좌표,1.14E+18,구주소,서울특별시 마포구 와우산로15길 34,서울특별시 마포구 서교동 409-14,4049
Point (192631.47584424552042037 449958.54225982719799504),음식,유흥주점,빠/카페/스탠드빠,스토리몽,서울특별시 마포구 서교동 394-12 1층,,서울특별시 마포구 서교동 394-12 1층,126.916615,37.549115,정좌표,1.14E+18,구주소,서울특별시 마포구 양화로8길 38,서울특별시 마포구 서교동 394-12,4044
Point (192616.62112505943514407 449948.45553321344777942),음식,유흥주점,빠/카페/스탠드빠,테이블 15,서울특별시 마포구 서교동 394-14 외1필지  1층 101호,,서울특별시 마포구 서교동 394-14 외1필지  1층 101호,126.916447,37.549024,정좌표,1.14E+18,구주소,서울특별시 마포구 양화로6길 39,서울특별시 마포구 서교동 394-14,4044
Point (193051.96042434679111466 450102.02050404256442562),음식,분식,떡볶이전문,홍대조폭떡볶이,서울특별시 마포구 서교동 407-21 반석빌딩 1층,02-3141-1246,서울특별시 마포구 서교동 407-21 반석빌딩 1층,126.921372,37.550411,정좌표,1.14E+18,구주소,서울특별시 마포구 어울마당로 60,서울특별시 마포구 서교동 407-21,4049
Point (193004.48883033846504986 449869.5403307264787145),음식,유흥주점,빠/카페/스탠드빠,보이프렌즈키친,서울특별시 마포구 상수동 316-12 1층,,서울특별시 마포구 상수동 316-12 1층,126.920837,37.548316,정좌표,1.14E+18,구주소,서울특별시 마포구 독막로 67-10,서울특별시 마포구 상수동 316-12,4049
Point (192993.42451124364743009 450057.45245619461638853),음식,한식,한식/백반/한정식,도쿄키친,서울특별시 마포구 서교동 403-2 1~2층,,서울특별시 마포구 서교동 403-2 1~2층,126.92071,37.550009,정좌표,1.14E+18,구주소,서울특별시 마포구 독막로9길 42,서울특별시 마포구 서교동 403-2,4048
Point (192680.19245669525116682 449988.13301122543634847),음식,유흥주점,호프/맥주,샤인(Shain),서울특별시 마포구 서교동 396-22 1층 1호,,서울특별시 마포구 서교동 396-22 1층 1호,126.917166,37.549382,정좌표,1.14E+18,구주소,서울특별시 마포구 독막로3길 26,서울특별시 마포구 서교동 396-22,4047
Point (192892.67117354611400515 450039.3359968769364059),음식,일식/수산물,음식점-일식,,서울특별시 마포구 서교동 395-23 1층,,서울특별시 마포구 서교동 395-23 1층,126.91957,37.549845,정좌표,1.14E+18,구주소,서울특별시 마포구 독막로7길 45,서울특별시 마포구 서교동 395-23,4043
Point (192745.55790396931115538 449856.77678844216279685),음식,닭/오리요리,후라이드/양념치킨,교촌치킨합정점,서울특별시 마포구 합정동 411-8 1층,02-3141-0655,서울특별시 마포구 합정동 411-8 1층,126.917907,37.548199,정좌표,1.14E+18,구주소,서울특별시 마포구 독막로 39,서울특별시 마포구 합정동 411-8,4047
Point (193061.39048784738406539 449966.1632131016231142),음식,유흥주점,빠/카페/스탠드빠,티이에이테이블,서울특별시 마포구 서교동 409-14 지1층,,서울특별시 마포구 서교동 409-14 지1층,126.92148,37.549187,정좌표,1.14E+18,구주소,서울특별시 마포구 와우산로15길 34,서울특별시 마포구 서교동 409-14,4049
Point (192964.11532841096050106 450091.10661847412120551),음식,유흥주점,빠/카페/스탠드빠,커피잔속에테르,서울특별시 마포구 서교동 405-10 1층,02-336-9929,서울특별시 마포구 서교동 405-10 1층,126.920378,37.550312,정좌표,1.14E+18,구주소,서울특별시 마포구 어울마당로 55-12,서울특별시 마포구 서교동 405-10,4048
Point (193021.86478925056871958 449830.67990065331105143),음식,다방/커피숍/카페,다방/커피숍/카페,상수동 그가게,서울특별시 마포구 상수동 317-6 1층,02-843-3872,서울특별시 마포구 상수동 317-6 1층,126.921034,37.547966,정좌표,1.14E+18,구주소,서울특별시 마포구 독막로 67,서울특별시 마포구 상수동 317-6,4049
Point (192796.36632503569126129 450158.39818834140896797),음식,다방/커피숍/카페,다방/커피숍/카페,그라찌에,서울특별시 마포구 서교동 395-120 1층,02-338-7241,서울특별시 마포구 서교동 395-120 1층,126.918479,37.550917,정좌표,1.14E+18,구주소,서울특별시 마포구 잔다리로3길 23,서울특별시 마포구 서교동 395-120,4043
Point (193015.68138602052931674 449938.6764744832762517),음식,일식/수산물,음식점-일식,풍월,서울특별시 마포구 서교동 408-27 2층,02-332-5804,서울특별시 마포구 서교동 408-27 2층,126.920963,37.548939,정좌표,1.14E+18,구주소,서울특별시 마포구 어울마당로 44-1,서울특별시 마포구 서교동 408-27,4049
Point (192785.65483557648258284 450136.20986234745942056),음식,양식,정통양식/경양식,올리베또,서울특별시 마포구 서교동 395-134 지층,,서울특별시 마포구 서교동 395-134 지층,126.918358,37.550717,정좌표,1.14E+18,구주소,서울특별시 마포구 잔다리로3길 29,서울특별시 마포구 서교동 395-134,4043
Point (192479.40378417671308853 449968.00153064774349332),음식,유흥주점,호프/맥주,프리호프,서울특별시 마포구 합정동 414-16 1층,02-333-2388,서울특별시 마포구 합정동 414-16 1층,126.914894,37.549199,정좌표,1.14E+18,구주소,서울특별시 마포구 양화로6길 14,서울특별시 마포구 합정동 414-16,4046
Point (192991.49267466098535806 449862.44804855872644112),음식,양식,정통양식/경양식,반초이,서울특별시 마포구 상수동 317-2 1층,,서울특별시 마포구 상수동 317-2 1층,126.92069,37.548252,정좌표,1.14E+18,구주소,서울특별시 마포구 독막로 67-11,서울특별시 마포구 상수동 317-2,4049
Point (193103.75754132494330406 450119.62445036496501416),음식,유흥주점,호프/맥주,골드2,서울특별시 마포구 서교동 407-25 2층,02-333-9965,서울특별시 마포구 서교동 407-25 2층,126.921958,37.55057,정좌표,1.14E+18,구주소,서울특별시 마포구 잔다리로 9,서울특별시 마포구 서교동 407-25,4049
Point (193069.01357794963405468 450100.23044931562617421),음식,분식,라면김밥분식,집밥집,서울특별시 마포구 서교동 407-19 1층,,서울특별시 마포구 서교동 407-19 1층,126.921565,37.550395,정좌표,1.14E+18,구주소,서울특별시 마포구 와우산로17길 24-3,서울특별시 마포구 서교동 407-19,4049
Point (192948.2831931565888226 450073.91688836272805929),음식,유흥주점,빠/카페/스탠드빠,헬로 마키,서울특별시 마포구 서교동 404-6 1층 우측,,서울특별시 마포구 서교동 404-6 1층 우측,126.920199,37.550157,정좌표,1.14E+18,구주소,서울특별시 마포구 독막로7길 56,서울특별시 마포구 서교동 404-6,4048
Point (192787.83573695519589819 450307.24066108459373936),음식,한식,한식/백반/한정식,우미정,서울특별시 마포구 서교동 373-2,02-325-1060,서울특별시 마포구 서교동 373-2,126.918381,37.552258,정좌표,1.14E+18,구주소,서울특별시 마포구 잔다리로 49,서울특별시 마포구 서교동 373-2,4043
Point (192990.82976474188035354 450019.38573278981493786),음식,중식,중국음식/중국집,라비린토스,서울특별시 마포구 서교동 403-6 2층,,서울특별시 마포구 서교동 403-6 2층,126.920681,37.549666,정좌표,1.14E+18,구주소,서울특별시 마포구 어울마당로 51,서울특별시 마포구 서교동 403-6,4048
Point (193018.60927268661907874 449952.65850982238771394),음식,별식/퓨전요리,순대전문점,백암왕순대국,서울특별시 마포구 서교동 408-26,02-338-5737,서울특별시 마포구 서교동 408-26,126.920996,37.549065,정좌표,1.14E+18,구주소,서울특별시 마포구 어울마당로 46,서울특별시 마포구 서교동 408-26,4049
Point (193186.42277653026394546 450064.50614735431736335),음식,분식,떡볶이전문,동대문 엽기떡볶이 홍대피카소점,서울특별시 마포구 서교동 411-1 1층,,서울특별시 마포구 서교동 411-1 1층,126.922894,37.550074,정좌표,1.14E+18,구주소,서울특별시 마포구 와우산로 61-1,서울특별시 마포구 서교동 411-1,4049
Point (192725.73791243569576181 450029.60255034524016082),음식,유흥주점,빠/카페/스탠드빠,카자미도리,서울특별시 마포구 서교동 396-51 1층,,서울특별시 마포구 서교동 396-51 1층,126.917681,37.549756,정좌표,1.14E+18,구주소,서울특별시 마포구 독막로3길 28-17,서울특별시 마포구 서교동 396-51,4047
Point (192681.08959897788008675 449903.11535448173526675),음식,한식,한식/백반/한정식,카페 디나인 팩토리,서울특별시 마포구 합정동 412-24 1층,,서울특별시 마포구 합정동 412-24 1층,126.917177,37.548616,정좌표,1.14E+18,구주소,서울특별시 마포구 양화로6길 54,서울특별시 마포구 합정동 412-24,4047
Point (193181.79484088424942456 450024.44324833678547293),음식,한식,한식/백반/한정식,옥,서울특별시 마포구 상수동 86-53,02-322-2938,서울특별시 마포구 상수동 86-53,126.922842,37.549713,정좌표,1.14E+18,구주소,서울특별시 마포구 와우산로 59,서울특별시 마포구 상수동 86-53,4049
Point (193007.1484059426584281 450089.62743817165028304),음식,유흥주점,호프/맥주,히스토리,서울특별시 마포구 서교동 405-16,,서울특별시 마포구 서교동 405-16,126.920865,37.550299,정좌표,1.14E+18,구주소,서울특별시 마포구 어울마당로 55-2,서울특별시 마포구 서교동 405-16,4048
Point (193048.81840956467203796 449831.98916201433166862),음식,유흥주점,빠/카페/스탠드빠,벨라또띠아,서울특별시 마포구 상수동 315-8 1층,,서울특별시 마포구 상수동 315-8 1층,126.921339,37.547978,정좌표,1.14E+18,구주소,서울특별시 마포구 독막로 71,서울특별시 마포구 상수동 315-8,4049
